Europe/Bratislava=CET-1CEST,M3.5.0/2,M10.5.0/3
Europe/Prague=CET-1CEST,M3.5.0/2,M10.5.0/3
Europe/Berlin=CET-1CEST,M3.5.0/2,M10.5.0/3
Europe/Vienna=CET-1CEST,M3.5.0/2,M10.5.0/3
Europe/Paris=CET-1CEST,M3.5.0/2,M10.5.0/3
Europe/Rome=CET-1CEST,M3.5.0/2,M10.5.0/3
Europe/Madrid=CET-1CEST,M3.5.0/2,M10.5.0/3
Europe/Amsterdam=CET-1CEST,M3.5.0/2,M10.5.0/3
Europe/Brussels=CET-1CEST,M3.5.0/2,M10.5.0/3
Europe/Warsaw=CET-1CEST,M3.5.0/2,M10.5.0/3
Europe/Budapest=CET-1CEST,M3.5.0/2,M10.5.0/3
Europe/Zurich=CET-1CEST,M3.5.0/2,M10.5.0/3
Europe/Copenhagen=CET-1CEST,M3.5.0/2,M10.5.0/3
Europe/Stockholm=CET-1CEST,M3.5.0/2,M10.5.0/3
Europe/Oslo=CET-1CEST,M3.5.0/2,M10.5.0/3
Europe/Zagreb=CET-1CEST,M3.5.0/2,M10.5.0/3
Europe/Belgrade=CET-1CEST,M3.5.0/2,M10.5.0/3
Europe/Ljubljana=CET-1CEST,M3.5.0/2,M10.5.0/3
Europe/London=GMT0BST,M3.5.0/1,M10.5.0
Europe/Dublin=IST-1GMT0,M10.5.0,M3.5.0/1
Europe/Lisbon=WET0WEST,M3.5.0/1,M10.5.0
Europe/Helsinki=EET-2EEST,M3.5.0/3,M10.5.0/4
Europe/Athens=EET-2EEST,M3.5.0/3,M10.5.0/4
Europe/Bucharest=EET-2EEST,M3.5.0/3,M10.5.0/4
Europe/Sofia=EET-2EEST,M3.5.0/3,M10.5.0/4
Europe/Tallinn=EET-2EEST,M3.5.0/3,M10.5.0/4
Europe/Riga=EET-2EEST,M3.5.0/3,M10.5.0/4
Europe/Vilnius=EET-2EEST,M3.5.0/3,M10.5.0/4
Europe/Kiev=EET-2EEST,M3.5.0/3,M10.5.0/4
Europe/Istanbul=TRT-3
Europe/Moscow=MSK-3
Europe/Samara=SAMT-4
US/Eastern=EST5EDT,M3.2.0,M11.1.0
US/Central=CST6CDT,M3.2.0,M11.1.0
US/Mountain=MST7MDT,M3.2.0,M11.1.0
US/Pacific=PST8PDT,M3.2.0,M11.1.0
US/Alaska=AKST9AKDT,M3.2.0,M11.1.0
US/Hawaii=HST10
Canada/Eastern=EST5EDT,M3.2.0,M11.1.0
Canada/Central=CST6CDT,M3.2.0,M11.1.0
Canada/Pacific=PST8PDT,M3.2.0,M11.1.0
America/Sao_Paulo=BRT3BRST,M10.3.0/0,M2.3.0/0
America/Argentina/Buenos_Aires=ART3
Asia/Tokyo=JST-9
Asia/Shanghai=CST-8
Asia/Hong_Kong=HKT-8
Asia/Singapore=SGT-8
Asia/Kolkata=IST-5:30
Asia/Dubai=GST-4
Asia/Karachi=PKT-5
Asia/Bangkok=ICT-7
Asia/Seoul=KST-9
Australia/Sydney=AEST-10AEDT,M10.1.0,M4.1.0/3
Australia/Melbourne=AEST-10AEDT,M10.1.0,M4.1.0/3
Australia/Brisbane=AEST-10
Australia/Perth=AWST-8
Australia/Adelaide=ACST-9:30ACDT,M10.1.0,M4.1.0/3
New_Zealand=NZST-12NZDT,M9.5.0,M4.1.0/3
Africa/Johannesburg=SAST-2
Africa/Cairo=EET-2EEST,M4.5.5/0,M10.5.4/24
Africa/Lagos=WAT-1
UTC=UTC0
